JobNum,OperSeq,WorkCenterID,OperationDesc,StdSetupHrs,StdRunHrsPerUnit,PlannedStart,PlannedEnd,ActualStart,ActualEnd,Machine,QtyComplete,QtyScrap,SetupHrs,RunHrs,MoveHrs,QueueHrs,Status,SMKO_ClusterID
J26-00001,10,WC-PREP,Material Prep / Cut,0.27,0.0089,2025-12-31T14:35:45.883293+00:00,2025-12-31T15:40:34.895900+00:00,2025-12-31T14:59:50.571534+00:00,2025-12-31T15:51:38.962237+00:00,,150,0,0.12,1.05,0.13,1.2,Complete,
J26-00001,20,WC004,CNC Machining,0.87,0.0328,2025-12-31T15:35:45.883293+00:00,2025-12-31T21:21:35.115919+00:00,2025-12-31T22:00:00+00:00,2026-01-01T03:37:29+00:00,21 DOOSAN PUMA700,150,1,0.62,5.62,0.25,2.27,Complete,274
J26-00001,30,WC-INSP,Inspection & Pack,0.0,0.0031,2025-12-31T21:21:35.115919+00:00,2026-01-01T01:04:22.874956+00:00,2026-01-01T13:39:48.599934+00:00,2026-01-01T15:30:30.132265+00:00,,150,0,0.0,1.8,0.1,1.49,Complete,
J26-00002,10,WC-PREP,Material Prep / Cut,0.35,0.0052,2025-12-31T18:37:30.364603+00:00,2025-12-31T20:22:47.226988+00:00,2025-12-31T19:07:34.194472+00:00,2025-12-31T20:35:05.170451+00:00,,10,0,0.36,0.32,0.03,0.31,Complete,
J26-00002,20,WC005,CNC Machining,1.15,0.0211,2025-12-31T19:37:30.364603+00:00,2025-12-31T20:30:13.362268+00:00,2025-12-31T22:00:00+00:00,2025-12-31T22:14:55+00:00,22 DMU NLX 2500 old,10,0,0.15,0.25,0.01,1.09,Complete,380
J26-00002,30,WC-INSP,Inspection & Pack,0.0,0.0072,2025-12-31T20:30:13.362268+00:00,2026-01-01T00:40:55.947968+00:00,2026-01-01T05:14:42.395434+00:00,2026-01-01T06:37:30.354904+00:00,,10,0,0.0,0.98,0.08,1.77,Complete,
J26-00003,10,WC-PREP,Material Prep / Cut,0.34,0.006,2025-12-31T19:11:41.230327+00:00,2025-12-31T20:23:42.759800+00:00,2025-12-31T19:14:42.603907+00:00,2025-12-31T20:48:01.652917+00:00,,18,0,0.29,0.5,0.04,0.4,Complete,
J26-00003,20,WC010,CNC Machining,1.21,0.0144,2025-12-31T20:11:41.230327+00:00,2025-12-31T20:53:32.407634+00:00,2025-12-31T22:00:00+00:00,2025-12-31T22:21:42+00:00,66 DMU NLX 2500,18,0,1.16,0.31,0.1,3.8,Complete,1106
J26-00003,30,WC-INSP,Inspection & Pack,0.0,0.0069,2025-12-31T20:53:32.407634+00:00,2025-12-31T23:12:43.387959+00:00,2026-01-01T04:17:34.630326+00:00,2026-01-01T06:05:53.437658+00:00,,18,0,0.0,1.47,0.07,2.88,Complete,
J26-00004,10,WC-PREP,Material Prep / Cut,0.28,0.0057,2025-12-31T15:04:30.522197+00:00,2025-12-31T16:34:24.666561+00:00,2025-12-31T15:07:55.542405+00:00,2025-12-31T16:39:04.621800+00:00,,13,0,0.39,0.31,0.03,0.47,Complete,
