JobNum,SalesOrder,CustomerID,PartNum,Revision,JobStatus,Priority,QtyOrdered,QtyCompleted,QtyScrapped,PlannedStart,DueDate,CloseDate,Notes
J26-00001,SO26-20395,CUST0003,SHAFT-5422,C,Closed,Normal,169,150,1,2025-12-31T14:35:45.883293+00:00,2026-01-04T13:59:50.699971+00:00,2026-01-01T16:05:09.081109+00:00,Engineering hold
J26-00002,SO26-89111,CUST0018,PN-8062,D,Closed,Normal,11,10,0,2025-12-31T18:37:30.364603+00:00,2026-01-06T05:38:54.583558+00:00,2026-01-01T04:14:09.993325+00:00,First article required
J26-00003,SO26-86908,CUST0002,SHAFT-5386,A,Closed,Normal,20,18,0,2025-12-31T19:11:41.230327+00:00,2026-01-05T23:06:11.256161+00:00,2026-01-01T14:49:17.192820+00:00,Use new fixture
J26-00004,SO26-11524,CUST0016,PN-4582,C,Closed,Normal,14,13,0,2025-12-31T15:04:30.522197+00:00,2026-01-02T02:20:25.919053+00:00,2026-01-01T07:10:12.961006+00:00,
J26-00005,SO26-27850,CUST0012,PN-4770,A,Closed,Hot,45,43,1,2025-12-31T18:46:54.580975+00:00,2025-12-31T18:52:31.671181+00:00,2026-01-01T01:29:52.814142+00:00,Customer expedite
J26-00006,SO26-90688,CUST0012,VALVE-6038,D,Closed,Normal,33,31,0,2025-12-31T21:30:50.251621+00:00,2026-01-06T21:33:20.973540+00:00,2026-01-01T03:17:37.809909+00:00,Engineering hold
J26-00007,SO26-39192,CUST0001,SHAFT-2982,A,Closed,Normal,15,12,0,2025-12-31T19:24:56.521895+00:00,2026-01-01T13:44:31.422082+00:00,2026-01-01T21:42:41.587359+00:00,First article required
J26-00008,SO26-41966,CUST0003,SHAFT-8651,C,Closed,Normal,7,6,0,2025-12-31T21:13:32.051812+00:00,2026-01-03T05:20:37.214892+00:00,2026-01-01T00:17:45.323631+00:00,Use new fixture
J26-00009,SO26-87258,CUST0026,HOUS-1434,E,Closed,Normal,8,7,0,2025-12-31T21:30:29.964339+00:00,2026-01-05T18:14:56.016258+00:00,2026-01-02T00:02:01.990014+00:00,
J26-00010,SO26-72046,CUST0010,VALVE-2790,D,Closed,Normal,13,12,0,2026-01-01T00:28:14.162394+00:00,2026-01-03T18:06:01.666555+00:00,2026-01-01T18:27:23.376916+00:00,First article required
J26-00011,SO26-91941,CUST0021,ASSY-4681,C,Closed,Normal,6,5,0,2025-12-31T22:41:30.159121+00:00,2026-01-04T13:48:37.716091+00:00,2026-01-01T18:54:07.736924+00:00,
J26-00012,SO26-58364,CUST0016,PN-7596,B,Closed,Normal,62,51,1,2026-01-01T01:18:10.632643+00:00,2026-01-04T22:51:25.114840+00:00,2026-01-02T02:43:43.314105+00:00,
J26-00013,SO26-89671,CUST0008,HOUS-5119,B,Closed,Normal,50,46,1,2026-01-01T02:10:53.352263+00:00,2026-01-06T00:07:16.567057+00:00,2026-01-02T04:12:10.483314+00:00,
J26-00014,SO26-64061,CUST0023,ASSY-9786,C,Closed,Hot,2,2,0,2026-01-01T01:17:03.249547+00:00,2026-01-01T23:46:04.824692+00:00,2026-01-01T21:42:10.225605+00:00,Engineering hold
J26-00015,SO26-41348,CUST0003,PN-6539,D,Closed,Hot,71,61,0,2026-01-01T02:32:51.778210+00:00,2026-01-06T23:21:09.146199+00:00,2026-01-01T11:16:59.123529+00:00,
J26-00016,SO26-44068,CUST0017,SHAFT-7252,D,Closed,Hot,124,121,2,2026-01-01T04:00:38.555987+00:00,2026-01-01T18:58:57.177517+00:00,2026-01-01T20:21:46.874861+00:00,
J26-00017,SO26-83379,CUST0007,ASSY-9179,C,Closed,Normal,21,20,1,2026-01-01T02:37:27.661808+00:00,2025-12-31T08:49:14.942369+00:00,2026-01-01T17:55:58.475442+00:00,
J26-00018,SO26-86559,CUST0001,VALVE-6573,C,Closed,Normal,27,22,0,2026-01-01T05:32:40.640662+00:00,2026-01-05T23:54:45.738051+00:00,2026-01-01T16:13:00.168487+00:00,
J26-00019,SO26-33429,CUST0013,ASSY-9279,A,Closed,Normal,20,17,0,2026-01-01T05:07:31.806992+00:00,2026-01-03T13:26:24.668684+00:00,2026-01-01T22:39:20.349302+00:00,
J26-00020,SO26-41174,CUST0014,SHAFT-5557,C,Closed,Normal,4,4,0,2026-01-01T10:17:53.426850+00:00,2026-01-04T00:55:43.119117+00:00,2026-01-02T09:16:19.043287+00:00,
J26-00021,SO26-61399,CUST0014,ASSY-5562,A,Closed,Normal,86,85,3,2026-01-01T10:24:24.767891+00:00,2026-01-05T16:42:27.499445+00:00,2026-01-02T13:14:05.013694+00:00,
