LaborID,EmployeeID,JobNum,OperSeq,WorkCenterID,Machine,ClockIn,ClockOut,LaborHrs,SetupHrs,RunHrs,IndirectCode,Shift,Comment
L0000001,EMP0002,J26-00001,10,WC-PREP,,2025-12-31T14:58:43.524599+00:00,2025-12-31T15:45:12.945894+00:00,1.2,0.03,1.81,,B,Deburr edges
L0000002,EMP0010,J26-00001,20,WC004,21 DOOSAN PUMA700,2025-12-31T21:22:48+00:00,2025-12-31T22:00:00+00:00,0.62,0.62,0.0,,A,Tool touch-off
L0000003,EMP0003,J26-00001,20,WC004,21 DOOSAN PUMA700,2025-12-31T22:00:00+00:00,2026-01-01T03:37:29+00:00,6.12,0.0,5.62,,B,Adjust offsets
L0000004,EMP0006,J26-00001,30,WC-INSP,,2026-01-01T13:39:48.599934+00:00,2026-01-01T15:30:30.132265+00:00,2.57,0.0,2.64,,A,Pack & label
L0000005,EMP0013,J26-00002,10,WC-PREP,,2025-12-31T18:45:32.879156+00:00,2025-12-31T20:50:52.429039+00:00,1.34,0.22,1.3,,A,Prep lot
L0000006,EMP0006,J26-00002,20,WC005,22 DMU NLX 2500 old,2025-12-31T21:51:00+00:00,2025-12-31T22:00:00+00:00,0.15,0.15,0.0,,A,Tool touch-off
L0000007,EMP0012,J26-00002,20,WC005,22 DMU NLX 2500 old,2025-12-31T22:00:00+00:00,2025-12-31T22:14:55+00:00,0.38,0.0,0.25,,A,Adjust offsets
L0000008,EMP0005,J26-00002,30,WC-INSP,,2026-01-01T05:14:42.395434+00:00,2026-01-01T06:37:30.354904+00:00,1.62,0.0,2.72,INSPECT,B,Final inspect
L0000009,EMP0012,J26-00003,10,WC-PREP,,2025-12-31T19:17:13.097984+00:00,2025-12-31T20:27:46.669594+00:00,1.99,0.03,1.94,,A,Prep lot
L0000010,EMP0004,J26-00003,20,WC010,66 DMU NLX 2500,2025-12-31T20:50:24+00:00,2025-12-31T22:00:00+00:00,1.16,1.16,0.0,,B,Tool touch-off
L0000011,EMP0003,J26-00003,20,WC010,66 DMU NLX 2500,2025-12-31T22:00:00+00:00,2025-12-31T22:21:42+00:00,0.69,0.0,0.31,,B,Adjust offsets
L0000012,EMP0009,J26-00003,30,WC-INSP,,2026-01-01T04:17:34.630326+00:00,2026-01-01T06:05:53.437658+00:00,1.37,0.0,2.88,,A,Pack & label
L0000013,EMP0014,J26-00004,10,WC-PREP,,2025-12-31T15:26:13.908190+00:00,2025-12-31T17:03:05.191826+00:00,2.37,0.36,1.63,,A,
L0000014,EMP0015,J26-00004,20,WC008,41 DMU NLX2500,2025-12-31T21:34:12+00:00,2025-12-31T22:00:00+00:00,0.43,0.43,0.0,,C,Tool touch-off
L0000015,EMP0014,J26-00004,20,WC008,41 DMU NLX2500,2025-12-31T22:00:00+00:00,2025-12-31T22:36:13+00:00,0.62,0.0,0.55,,A,Run production
L0000016,EMP0003,J26-00004,30,WC-INSP,,2026-01-01T08:05:01.585740+00:00,2026-01-01T10:13:02.432883+00:00,3.0,0.0,1.8,,B,Final inspect
