ClusterID,Machine,ClusterStart,ClusterEnd,RunSec,CycleCount
274,21 DOOSAN PUMA700,2025-12-31 22:00:00+00:00,2026-01-01 03:37:29+00:00,20249,1
380,22 DMU NLX 2500 old,2025-12-31 22:00:00+00:00,2025-12-31 22:14:55+00:00,895,1
1106,66 DMU NLX 2500,2025-12-31 22:00:00+00:00,2025-12-31 22:21:42+00:00,1100,2
807,41 DMU NLX2500,2025-12-31 22:00:00+00:00,2025-12-31 22:36:13+00:00,1975,4
381,22 DMU NLX 2500 old,2025-12-31 22:44:03+00:00,2026-01-01 00:25:02+00:00,4788,9
1107,66 DMU NLX 2500,2025-12-31 22:48:31+00:00,2026-01-01 00:07:56+00:00,3676,5
809,41 DMU NLX2500,2025-12-31 23:09:14+00:00,2025-12-31 23:20:23+00:00,669,1
810,41 DMU NLX2500,2025-12-31 23:34:39+00:00,2025-12-31 23:52:48+00:00,1089,1
811,41 DMU NLX2500,2026-01-01 00:35:49+00:00,2026-01-01 01:12:12+00:00,2008,3
812,41 DMU NLX2500,2026-01-01 01:33:07+00:00,2026-01-01 02:37:13+00:00,2925,5
813,41 DMU NLX2500,2026-01-01 03:04:57+00:00,2026-01-01 03:23:06+00:00,1089,1
703,24 DOOSAN PUMA 3100L,2026-01-01 05:15:18+00:00,2026-01-01 06:37:55+00:00,4263,4
1,102 HAAS VF4,2026-01-01 05:40:43+00:00,2026-01-01 07:20:17+00:00,4104,9
135,103 HAAS VF4,2026-01-01 06:36:33+00:00,2026-01-01 07:12:30+00:00,410,42
704,24 DOOSAN PUMA 3100L,2026-01-01 07:03:03+00:00,2026-01-01 08:29:27+00:00,4263,4
2,102 HAAS VF4,2026-01-01 07:37:31+00:00,2026-01-01 14:44:05+00:00,21669,26
705,24 DOOSAN PUMA 3100L,2026-01-01 08:41:41+00:00,2026-01-01 10:02:12+00:00,4263,4
706,24 DOOSAN PUMA 3100L,2026-01-01 10:54:35+00:00,2026-01-01 12:13:31+00:00,4263,5
707,24 DOOSAN PUMA 3100L,2026-01-01 12:24:48+00:00,2026-01-01 13:42:30+00:00,4263,4
275,21 DOOSAN PUMA700,2026-01-01 14:26:48+00:00,2026-01-01 14:45:45+00:00,1056,2
708,24 DOOSAN PUMA 3100L,2026-01-01 14:38:14+00:00,2026-01-01 15:52:02+00:00,4262,4
491,23 DOOSAN PUMA 700,2026-01-01 14:43:21+00:00,2026-01-01 15:11:35+00:00,748,5
276,21 DOOSAN PUMA700,2026-01-01 15:12:44+00:00,2026-01-01 15:40:51+00:00,1590,6
382,22 DMU NLX 2500 old,2026-01-01 15:15:57+00:00,2026-01-01 17:35:38+00:00,6123,10
1108,66 DMU NLX 2500,2026-01-01 15:16:41+00:00,2026-01-01 17:36:12+00:00,6060,17
492,23 DOOSAN PUMA 700,2026-01-01 15:27:41+00:00,2026-01-01 15:43:24+00:00,641,4
814,41 DMU NLX2500,2026-01-01 15:47:42+00:00,2026-01-01 16:47:34+00:00,2280,5
493,23 DOOSAN PUMA 700,2026-01-01 15:55:16+00:00,2026-01-01 16:03:44+00:00,398,2
277,21 DOOSAN PUMA700,2026-01-01 15:58:19+00:00,2026-01-01 16:16:33+00:00,664,2
709,24 DOOSAN PUMA 3100L,2026-01-01 16:03:07+00:00,2026-01-01 17:26:32+00:00,4264,4
494,23 DOOSAN PUMA 700,2026-01-01 16:16:21+00:00,2026-01-01 17:05:27+00:00,1122,9
278,21 DOOSAN PUMA700,2026-01-01 16:29:30+00:00,2026-01-01 17:09:48+00:00,2118,7
815,41 DMU NLX2500,2026-01-01 17:00:37+00:00,2026-01-01 19:25:05+00:00,6015,9
495,23 DOOSAN PUMA 700,2026-01-01 17:20:17+00:00,2026-01-01 17:26:50+00:00,328,2
710,24 DOOSAN PUMA 3100L,2026-01-01 17:36:41+00:00,2026-01-01 18:49:12+00:00,4265,4
279,21 DOOSAN PUMA700,2026-01-01 17:38:23+00:00,2026-01-01 19:15:38+00:00,4351,14
496,23 DOOSAN PUMA 700,2026-01-01 17:42:46+00:00,2026-01-01 19:42:43+00:00,3553,21
1109,66 DMU NLX 2500,2026-01-01 17:48:56+00:00,2026-01-01 19:12:15+00:00,3807,5
383,22 DMU NLX 2500 old,2026-01-01 17:49:52+00:00,2026-01-01 22:35:24+00:00,13578,22
1110,66 DMU NLX 2500,2026-01-01 19:23:27+00:00,2026-01-01 21:35:37+00:00,6087,9
280,21 DOOSAN PUMA700,2026-01-01 19:35:25+00:00,2026-01-01 20:39:38+00:00,3284,6
711,24 DOOSAN PUMA 3100L,2026-01-01 19:37:38+00:00,2026-01-01 20:54:08+00:00,4267,4
816,41 DMU NLX2500,2026-01-01 19:41:57+00:00,2026-01-01 20:19:36+00:00,1758,2
497,23 DOOSAN PUMA 700,2026-01-01 20:07:16+00:00,2026-01-01 20:45:28+00:00,1518,9
817,41 DMU NLX2500,2026-01-01 20:41:21+00:00,2026-01-01 21:18:15+00:00,2009,3
281,21 DOOSAN PUMA700,2026-01-01 21:00:44+00:00,2026-01-01 21:36:22+00:00,1902,5
498,23 DOOSAN PUMA 700,2026-01-01 21:01:24+00:00,2026-01-01 23:02:31+00:00,3968,26
712,24 DOOSAN PUMA 3100L,2026-01-01 21:17:51+00:00,2026-01-01 22:39:10+00:00,4267,5
818,41 DMU NLX2500,2026-01-01 21:37:06+00:00,2026-01-01 22:18:46+00:00,2005,3
1111,66 DMU NLX 2500,2026-01-01 21:46:14+00:00,2026-01-01 23:07:28+00:00,3806,5
282,21 DOOSAN PUMA700,2026-01-01 21:46:26+00:00,2026-01-01 21:51:58+00:00,332,1
283,21 DOOSAN PUMA700,2026-01-01 22:03:26+00:00,2026-01-01 22:44:01+00:00,2166,5
384,22 DMU NLX 2500 old,2026-01-01 22:49:34+00:00,2026-01-01 23:08:04+00:00,633,3
820,41 DMU NLX2500,2026-01-01 22:53:46+00:00,2026-01-01 23:04:56+00:00,670,1
284,21 DOOSAN PUMA700,2026-01-01 22:55:04+00:00,2026-01-01 23:00:35+00:00,331,1
285,21 DOOSAN PUMA700,2026-01-01 23:26:58+00:00,2026-01-02 00:00:33+00:00,1836,4
821,41 DMU NLX2500,2026-01-01 23:27:38+00:00,2026-01-01 23:45:47+00:00,1089,1
499,23 DOOSAN PUMA 700,2026-01-01 23:30:32+00:00,2026-01-01 23:51:25+00:00,1083,6
1112,66 DMU NLX 2500,2026-01-01 23:36:03+00:00,2026-01-02 03:10:43+00:00,9877,16
385,22 DMU NLX 2500 old,2026-01-01 23:41:01+00:00,2026-01-02 03:20:57+00:00,10273,16
286,21 DOOSAN PUMA700,2026-01-02 00:12:47+00:00,2026-01-02 05:27:33+00:00,18646,5
823,41 DMU NLX2500,2026-01-02 00:27:29+00:00,2026-01-02 00:59:18+00:00,1758,2
825,41 DMU NLX2500,2026-01-02 02:11:38+00:00,2026-01-02 02:22:48+00:00,670,1
826,41 DMU NLX2500,2026-01-02 02:33:40+00:00,2026-01-02 02:51:49+00:00,1089,1
1113,66 DMU NLX 2500,2026-01-02 05:00:22+00:00,2026-01-02 05:12:50+00:00,748,1
972,65 DMU NLX 2500,2026-01-02 05:01:34+00:00,2026-01-02 05:07:29+00:00,320,2
827,41 DMU NLX2500,2026-01-02 05:07:03+00:00,2026-01-02 06:52:40+00:00,5348,9
386,22 DMU NLX 2500 old,2026-01-02 05:07:22+00:00,2026-01-02 05:47:10+00:00,1972,4
500,23 DOOSAN PUMA 700,2026-01-02 05:24:04+00:00,2026-01-02 06:48:18+00:00,2163,12
1114,66 DMU NLX 2500,2026-01-02 05:27:09+00:00,2026-01-02 07:35:23+00:00,6098,10
973,65 DMU NLX 2500,2026-01-02 05:27:23+00:00,2026-01-02 06:03:04+00:00,1255,7
713,24 DOOSAN PUMA 3100L,2026-01-02 05:38:35+00:00,2026-01-02 07:00:56+00:00,4264,4
287,21 DOOSAN PUMA700,2026-01-02 05:42:12+00:00,2026-01-02 06:35:45+00:00,2049,6
192,104 DOOSAN DNM6700,2026-01-02 05:46:16+00:00,2026-01-02 07:10:11+00:00,4234,13
