Export Title: My Timeline
Export Date: 2026-01-15T08:58:43.126Z

Machine,Port ID,Start,End,State,Machine,Duration,Operator
102 HAAS VF4,1,1767218400,1767219502,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767219502,1767245207,Offline,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767245207,1767246043,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767246043,1767246057,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767246057,1767246222,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767246222,1767246239,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767246239,1767246241,Feedhold,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767246241,1767246426,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767246426,1767246628,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767246628,1767246646,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767246646,1767246648,Feedhold,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767246648,1767249771,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767249771,1767249951,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767249951,1767250140,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767250140,1767250389,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767250389,1767250579,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767250579,1767251132,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767251132,1767251320,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767251320,1767251837,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767251837,1767252017,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767252017,1767253051,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767253051,1767253226,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767253226,1767253385,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767253385,1767253560,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767253560,1767253745,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767253745,1767253924,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767253924,1767254090,Stopped,102 HAAS VF4,0,John Doe
